"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"label.cost","Cost","Coût","लागत","Cost","料金","비용","Расходы","Costo","成本","يكلف","Custo","Costo"
"label.createdAt","Created at","Créé à","पर बनाया गया","Creat la","で作成されました","만들어졌습니다","Создан в","Creado en","创建在","أنشئت في","Criado em","Data di creazione"
"label.createdBy","Created by","Créé par","के द्वारा बनाई गई","Creat de","によって作成された","만들어졌습니다","Сделано","Creado por","由...制作","انشأ من قبل","Criado por","Creato da"
"label.createTask","Create task","Créer une tâche","कार्य बनाएँ","Creaza task","タスクを作成します","작업을 만듭니다","Создать задачу","Crear tarea","创建任务","إنشاء مهمة","Criar tarefa","Crea attività"
"label.custom","Custom","Personnalisé","रिवाज़","Personalizat","カスタム","관습","Обычай","Costumbre","风俗","مخصص","Personalizado","Personalizzato"
"label.daily","Daily","Quotidien","दैनिक","Zilnic","毎日","일일","Ежедневно","A diario","日常的","يوميًا","Diário","Giornaliero"
"label.dailyReports","Daily Reports","Rapports journaliers","दैनिक रिपोर्ट","Raport zilnic","毎日のレポート","일일 보고서","Ежедневные отчеты","Reportes diarios","每日报告","التقارير اليومية","Reportagens diárias","Report Giornalieri"
"label.date","Date","Date","तारीख","Data","日付","날짜","Дата","Fecha","日期","تاريخ","Data","Data"
"label.day","Day","Jour","दिन","Zi","日","낮","День","Día","天","يوم","Dia","Giorno"
"label.deactive","Deactive","Désactivé","अक्रिय","Deactivat","デュペリー","사기","Дупери","Engaño","杜珀","خداع","Dupery","Disattivare"
"label.default","Default","Défaut","डिफ़ॉल्ट","Default","デフォルト","기본","По умолчанию","Por defecto","默认","تقصير","Padrão","Predefinito"
"label.delete","Delete","Supprimer","हटाएँ","Sterge","消去","삭제","Удалить","Borrar","删除","يمسح","Excluir","Elimina"
"label.description","Description","Description","विवरण","Descriere","説明","설명","Описание","Descripción","描述","وصف","Descrição","Descrizione"
"label.duplicate","Duplicate","Dupliquer","डुप्लिकेट","Duplicat","重複","복제하다","Дублировать","Duplicar","复制","ينسخ","Duplicado","Duplicato"
"label.edit","Edit","Éditer","संपादित करें","Editeaza","編集","편집하다","Редактировать","Editar","编辑","يحرر","Editar","Modifica"
"label.email","Email","E-mail","ईमेल","E-mail","Eメール","이메일","Электронная почта","Correo electrónico","电子邮件","بريد إلكتروني","E-mail","Email"
"label.endAt","End at","Termine à","पर समाप्त","Se termina la","で終わります","끝납니다","Закончить в","Termina en","结束","يغلق عند مستوى","Termina em","Fine"
"label.endAt","End at","Fin à","पर समाप्त","Se termina la","で終わります","끝납니다","Закончить в","Termina en","结束","يغلق عند مستوى","Termina em","Fine"
"label.endDate","End Date","Date de fin","समाप्ति तिथि","Data de încheiere","終了日","종료 날짜","Дата окончания","Fecha final","结束日期","تاريخ الانتهاء","Data final","Data di Fine"
"label.endsAt","Ends at","Finit à","खतम होता है","Se termina la","で終わります","끝납니다","Заканчивается в","Termina en","结束","ينتهي عند","Termina em","Data di fine"
"label.endsAt","Ends at","Fini à","खतम होता है","Se termina la","で終わります","끝납니다","Заканчивается в","Termina en","结束","ينتهي عند","Termina em","Data di fine"
"label.free","Free","Gratuit","मुक्त","Gratuit","無料","무료","Бесплатно","Gratis","自由的","حر","Livre","Gratis"
"label.groups","Groups","Groupes","समूहों","Grupuri","グループ","여러 떼","Группа","Grupos","组","مجموعات","Grupos","Gruppi"
"label.guestPasses","Guest Passes","Pass invité","अतिथि पास","Invitatie Guest","ゲストパス","게스트 패스","Гостевые пасы","Pases de invitados","客人通行证","يمر الضيف","Passes de convidados","Pass per Ospiti"
"label.hold","Hold","Tenir","होल्ड","Retinut","所有","잡고 있다","Держать","Sostener","抓住","يمسك","Segurar","In attesa"
"label.hours","Hours","Heures","घण्टे","Ore","時間","시간","Часы","Horas","小时","ساعات","Horas","Ore"
"label.instructor","Instructor","Instructeur","अनुदेशक","Instructor","インストラクター","강사","Инструктор","Instructor","讲师","مدرب","Instrutor","Istruttore"
"label.instructors","Instructors","Instructeurs","अनुदेशकों","Instructori","インストラクター","강사","Инструкторы","Instructores","讲师","المدربون","Instrutores","Istruttori"
"label.label","Label","Étiquette","लेबल","Eticheta","ラベル","상표","Этикетка","Etiqueta","标签","ملصق","Rótulo","Attività"
"label.lastLC","Last LC","Dernier LC","अंतिम एल.सी","Ultimul LC","最後のLC","마지막 LC","Последний LC","Último LC","最后一个LC","LC LC","Último LC","Ultimo LC"
"label.lastLogin","Last login","Dernière connexion","आखरी लॉगइन","Ultima logare","前回のログイン","마지막 로그인","Последний Войти","Último acceso","上次登录","آخر تسجيل دخول","Último Login","Ultimo accesso"
"label.lastNS","Last NS","Dernier NS","अंतिम एन.एस","Ultimul NS","最後のns","마지막 ns","Последний нс","Último NS","最后的NS","آخر NS","Últimos ns","Ultimo NS"
"label.lastUpdate","Last update","Dernière mise à jour","आखिरी अपडेट","Ultima actualizare","最後の更新","마지막 업데이트","Последнее обновление","Última actualización","最后更新","اخر تحديث","Última atualização","Ultimo aggiornamento"
"label.lateCancellation","Late cancellation","Annulation tardive","देर से रद्दीकरण","Anulare întârziată","遅いキャンセル","늦은 취소","Поздняя отмена","Cancelación tardía","迟到","الإلغاء المتأخر","Cancelamento tardio","Cancellazione tardiva"
"label.latest","Latest","Le plus récent","नवीनतम","Cel mai recent","最新","최신","Последний","El último","最新的","أحدث","Mais recente","Ultimo"
"label.lC","LC","LC","एल.सी","LC","LC","LC","LC","LC","LC","LC","LC","LC"
"label.lCPast7Days","LC Past 7 Days","LC 7 derniers jours","एलसी पिछले 7 दिन","LC Ultimele 7 zile","LC過去7日間","지난 7 일 LC","LC за 7 дней","LC Pasos 7 días","LC过去7天","LC الماضي 7 أيام","LC nos últimos 7 dias","LC Ultimi 7 Giorni"
"label.live","Live","En direct","लाइव","Live","ライブ","살다","Жить","Vivir","居住","يعيش","Ao vivo","Diretta"
"label.location","Location","Emplacement","लोकेशन","Locatie","位置","위치","Расположение","Ubicación","地点","موقع","Localização","Posizione"
"label.lost","Lost","Perdu","खोया","Pierdut","失った","잃어버린","Потерянный","Perdido","丢失的","ضائع","Perdido","Perso"
"label.member","Member","Membre","सदस्य","Membru","メンバー","회원","Член","Miembro","成员","عضو","Membro","Cliente"
"label.memberCard","Member Card","Carte de membre","सदस्य कार्ड","Card membru","メンバーカード","회원 카드","Членская карта","Tarjeta para miembros","会员卡","بطاقة عضوية","Carteira de sócio","Carta Cliente"
"label.memberID","Member ID","ID membres","सदस्य आईडी","ID membru","メンバーID","회원 ID","ID пользователя","Identificación de miembro","会员ID","معرف العضو","ID do membro","ID Cliente"
"label.membersOnly","Members only","Membres uniquement","केवल सदस्यों","Doar pentru membri","メンバーのみ","회원 전용","Только для членов","Solo miembros","内部使用","الأعضاء فقط","Apenas membros","Solo Clienti"
"label.message","Message","Message","संदेश","Mesaje","メッセージ","메시지","Сообщение","Mensaje","信息","رسالة","Mensagem","Messaggio"
"label.messages","Messages","Messages","संदेश","Mesaje","メッセージ","메시지","Сообщения","Mensajes","消息","رسائل","Mensagens","Messaggi"
"label.month","Month","Mois","माह","luna","月","월","Месяц","Mes","月","شهر","Mês","Mese"
"label.monthly","Monthly","Mensuel","मासिक","Lunar","毎月","월간 간행물","Ежемесячно","Mensual","每月","شهريا","Por mês","Mensile"
"label.name","Name","Nom","नाम","Nume","名前","이름","Имя","Nombre","姓名","اسم","Nome","Nome"
"label.noShow","No Show","Non présentation","कोई शो नहीं","Nu sa prezentat","全く見せない","더 쇼 없다","Нет шоу","No hay espectáculo","没有出现","لا عرض","Sem show","Assenza"
"label.note","Note","Remarque","नोट","Nota.","注記","메모","Примечание","Nota","笔记","ملحوظة","Observação","Note"
"label.nS","NS","NS","एन.एस","NS","ns","ns","Нс","Ns","NS","NS","Ns","NS"
"label.nSPast7Days","NS Past 7 Days","NS 7 derniers jours","एनएस पिछले 7 दिन","NS Ultimele 7 zile","ns過去7日間","지난 7 일 NS","NS последние 7 дней","NS PASOS 7 DÍAS","NS过去7天","NS 7 أيام الماضية","Ns nos últimos 7 dias","NS Ultimi 7 Giorni"
"label.oldest","Oldest","Le plus ancien","सबसे पुराना","Cel mai vechi","最も古い","가장 오래된","Старейший","Más antiguo","最老的","أقدم","Mais antigo","Più Vecchio"
"label.ongoing","Ongoing","En cours","चल रहे","In curs","進行中","전진","Непрерывный","En curso","正在进行","جاري التنفيذ","Em andamento","In Corso"
"label.openAt","Open at","Ouvert à","पर खोलें","Deschis la","で開いています","AT에서","Открыть в","Inaugurar","打开","مفتوح في","Aberto em","Inizio"
"label.openingTimes","Opening Times","Horaires d'ouverture","बार खोलने","Orar de Funcționare","営業時間","영업 시간","Время открытия","Los horarios de apertura","开放时间","مواعيد العمل","Horario de funcionamento","Orari di Apertura"
"label.pdf","Pdf","PDF","पी.डी.एफ","Pdf","PDF","PDF","PDF","Pdf","PDF","بي دي إف","Pdf","Pdf"
"label.pending","Pending","En instance","लंबित","In asteptare","保留中","보류 중","В ожидании","Pendiente","待办的","قيد الانتظار","Pendente","In sospeso"
"label.personalTrainer","Personal trainer","Entraîneur personnel","निजी प्रशिक्षक","Antrenor personal","個人トレーナー","개인 트레이너","Персональный тренер","Entrenador personal","私人教练","المدرب الشخصي","Treinador pessoal","Personal trainer"
"label.phone","Phone","Téléphone","फ़ोन","Telefon","電話","핸드폰","Телефон","Teléfono","电话","هاتف","Telefone","Telefono"
"label.phone","Phone","Téléphone","टेलीफोन","Telefon","電話","핸드폰","Телефон","Teléfono","电话","هاتف","Telefone","Telefono"
"label.plan","Plan","Plan","योजना","Plan","プラン","계획","План","Plan","计划","يخطط","Plano","Piano"
"label.price","Price","Prix","कीमत","Pret","価格","가격","Цена","Precio","价格","سعر","Preço","Prezzo"
"label.priceHigh","Price High","Prix élevé","कीमत ऊंची","Pret mare","価格高","가격이 높다","Цена высокая","Precio alto","价格高","ارتفاع السعر","Preço alto","Prezzo Alto"
"label.priceLow","Price Low","Prix bas","दाम कम","Pret mic","価格は低い","가격이 낮습니다","Цена низкой","Precio bajo","价格低","السعر منخفض","Preço baixo","Prezzo Basso"
"label.prices","Prices","Prix","कीमतों","Preturi","価格","물가","Цены","Precios","价格","الأسعار","Preços","Prezzi"
"label.print","Print","Imprimer","प्रिंट","Printeaza","印刷","인쇄","Распечатать","Imprimir","打印","مطبعة","Imprimir","Stampa"
"label.product","Product","Produit","उत्पाद","Produs","製品","제품","Продукт","Producto","产品","منتج","produtos","Prodotto"
"label.quantity","Quantity","Quantité","क्वांटिटी","Cantitate","量","수량","Количество","Cantidad","数量","كمية","Quantidade","Quantità"
"label.rag","Rag","Rag","चीर","Rag","ぼろきれ","조각","Тряпичный","Trapo","抹布","خرقة","Pano","Contrassegno"
"label.releaseAt","Release at","Libérer à","पर रिलीज़ करें","Eliberat la","でリリース","출시","Выпустить в","Lanzarse a","释放在","الافراج عن","Libere em","Data di rilascio"
"label.remote","Remote","À distance","रिमोट","Remote","リモート","원격","Удаленный","Remoto","偏僻的","بعيد","Controlo remoto","Remoto"
"label.renewalFee","Renewal fee","Frais de renouvellement","नवीकरण शुल्क","Taxa reinoire","更新料","갱신 수수료","Плата за продление","Cuota de renovación","更新费","رسم التجديد","Taxa de renovação","Importo Rinnovo"
"label.rent","Rent","Louer","किराया","Inchiriaza","家賃","임차료","Арендовать","Alquilar","租","إيجار","Aluguel","Paga Settimanale"
"label.reply","Reply","Répondre","जवाब","Raspuns","返事","회신하다","Отвечать","Responder","回复","رد","Responder","Rispondi"
"label.resolved","Resolved","Résolu","हल किया","Rezolvat","解決しました","해결되었습니다","Решено","Resuelto","解决","تم الحل","Resolvido","Risolto"
"label.restore","Restore","Restaurer","पुनर्स्थापित","Restaureaza","復元する","복원하다","Восстановить","Restaurar","恢复","يعيد","Restaurar","Ripristina"
"label.rolling","Rolling","Roulant","रोलिंग","Rolling","圧延","구르는","Прокатывание","Laminación","滚动","المتداول","Rolando","Rolling"
"label.showDescription","Show Description","Afficher la description","वर्णन दिखाएँ","Arata descrierea","説明を表示します","설명 설명","Покажите описание","Mostrar descripcion","显示描述","عرض الوصف","Mostre a descrição","Mostra Descrizione"
"label.signOff","Sign off","Se déconnecter","साइन ऑफ़","Delogare","サインオフ","사인 오프","выйти","cerrar sesión","搁笔","تسجيل خروج","cancelar assinar","Completa"
"label.sn","S/N","S/N","एस/एन","S/N","S/N","S/N","S/N.","S/N","S/N","S/N","S/N","S/N"
"label.sort","Sort","Sorte","सॉर्ट करें","Sorteaza","選別","종류","Сортировать","Clasificar","种类","نوع","Organizar","Ordina"
"label.startAt","Start at","Commence à","पर शुरू","Incepe la","から始めます","시작합니다","Начнется в","Empieza en","开始","تبدأ في","Começa ás","Inizio"
"label.startsAt","Starts at","Débute à","पर आरंभ होती है","Incepe la","から始まります","시작","Начинается в","Empieza a","开始于","يبدأ عند","Começa em","Inizio"
"label.status","Status","Statut","स्थिति","Status","状態","상태","Положение дел","Estado","地位","حالة","Status","Stato"
"label.subscription","Subscription","Souscription","सदस्यता","Abonament","サブスクリプション","신청","Подписка","Suscripción","订阅","الاشتراك","Inscrição","Sottoscrizione"
"label.subtotal","Subtotal","Sous-total","सबटोटल","Subtotal","小計","소계","Промежуточный итог","Subtotal","小计","نطاق فرعي","Subtotal","Subtotale"
"label.task","Task","Tâche","टास्क","Task","タスク","일","Задача","Tarea","任务","مهمة","Tarefa","Attività"
"label.time","Time","Temps","समय","Timp","時間","시간","Время","Tiempo","时间","وقت","Tempo","Orari"
"label.title","Title","Titre","ख़िताब","Titlu","タイトル","제목","Заголовок","Título","标题","عنوان","Título","Titolo"
"label.total","Total","Total","कुल","Total","合計","총","Общий","Total","全部的","المجموع","Total","Totale"
"label.trashed","Trashed","Supprimé","ट्रैश किए","Sters","ゴミ箱","쓰레기","Разбитый","Basura","垃圾","محطمة","Destruído","Cancellato"
"label.type","Type","Taper","प्रकार","Tip","タイプ","유형","Тип","Tipo","类型","يكتب","Tipo","Tipo"
"label.user","User","Utilisateur","उपयोक्ता","User","ユーザー","사용자","Пользователь","Usuario","用户","مستخدم","Do utilizador","Utente"
"label.weekly","Weekly","Hebdomadaire","साप्ताहिक","Saptamanal","毎週","주간","Еженедельно","Semanalmente","每周","أسبوعي","Semanalmente","Settimanale"
"label.year","Year","Année","साल","An","年","년도","Год","Año","年","سنة","Ano","Anno"
"label.yearly","Yearly","Annuel","वार्षिक","Anual","毎年","매년","Ежегодно","Anual","每年","سنوي","Anual","Annuale"
"lang","Language","Langue","भाषा","Limba","言語","언어","Язык","Idioma","语言","لغة","Linguagem","Lingua"
"lastMessage","Last message","Dernier message","आखिरी संदेश","Ultimul mesaj","最後のメッセージ","마지막 메시지","Последнее сообщение","Ultimo mensaje","最后一条消息","اخر رسالة","Última mensagem","Ultimo messaggio"
"left","Left","Gauche","बाएँ","Stanga","左","왼쪽","Левый","Izquierda","左边","غادر","Esquerda","sinistra"
"link","Link","Lien","लिंक","Link","リンク","링크","Связь","Enlace","关联","وصلة","Link","Link"
"location","Location","Emplacement","स्थान","Locatie","位置","위치","Расположение","Ubicación","地点","موقع","Localização","Posizione"
"locations.noData","No locations available","Aucun emplacement disponible","कोई स्थान उपलब्ध नहीं है","Nici o locatie valabila","利用可能な場所はありません","사용 가능한 위치가 없습니다","Нет местоположений","No hay ubicaciones disponibles","没有可用的位置","لا توجد مواقع متاحة","Sem locais disponíveis","Nessuna posizione disponibile"
"login","Login","Connexion","लॉगिन","Logare","ログイン","로그인","Авторизоваться","Acceso","登录","تسجيل الدخول","Conecte-se","Accesso"
"logout","Logout","Déconnexion","लॉगआउट","Delogare","ログアウト","로그 아웃","Выйти","Cerrar sesión","登出","تسجيل خروج","Sair","Disconnettersi"
"manageAdminClassSchedules","View and manage your gym class schedules here.","Consultez et gérez vos horaires de cours de gym ici.","यहाँ अपनी जिम क्लास की शेड्यूल देखें और प्रबंधित करें।","Vizualizați și gestionați -vă aici programele clasei de gimnastică.","ここでジムのクラススケジュールを表示および管理してください。","여기에서 체육관 수업 일정을보고 관리하십시오.","Просмотрите и управляйте графиками занятий в спортзале здесь.","Ver y administrar sus horarios de clase de gimnasia aquí.","在此处查看和管理您的健身课时间表。","عرض وإدارة جداول فئة الصالة الرياضية هنا.","Veja e gerencie seus horários da aula de ginástica aqui.","Visualizza e gestisci i tuoi orari dei corsi qui."
"manageClassSchedules","View and manage your booked gym classes here. Stay organized and stay on track with your fitness routine.","Consultez et gérez vos cours de gym réservés ici. Restez organisé et suivez votre routine de fitness.","यहाँ अपने बुक की गई जिम क्लासेस को देखें और प्रबंधित करें। आपके फिटनेस रूटीन को आयोजित रखें और उस पर ट्रैक पर रहें।","Vizualizați și gestionați-vă cursurile de aerobic rezervate aici. Rămâneți organizat și rămâneți pe drum cu rutina dvs. de fitness.","ここで予約されたジムのクラスを表示して管理してください。整理されたまま、フィットネスルーチンで順調に進みましょう。","여기에서 예약 된 체육관 수업을보고 관리하십시오. 체력을 유지하고 피트니스 루틴을 추적하십시오.","Просмотреть и управлять своими забронированными занятиями в спортзале здесь. Оставайтесь организованными и оставайтесь на пути со своей фитнес -рутиной.","Vea y administre sus clases de gimnasia reservadas aquí. Manténgase organizado y manténgase en el camino con su rutina de acondicionamiento físico.","在此处查看并管理您的预订健身课。保持井井有条，并保持适应性的习惯。","عرض وإدارة فصول الصالة الرياضية المحجوزة هنا. ابق منظمًا والبقاء على المسار الصحيح مع روتين اللياقة.","Veja e gerencie suas aulas reservadas de ginástica aqui. Mantenha -se organizado e mantenha -se no caminho certo com sua rotina de fitness.","Visualizza e gestisci i tuoi corsi di palestra prenotati qui. Mantieni l'organizzazione e mantieni la tua routine fitness."
"markAllAttended","Mark All Attended","Marquer tous comme présents","सभी को उपस्थित चिह्नित करें","Bifează Toate Prezentele","すべてに出席したマーク","참석 한 모든 것을 표시하십시오","Отметьте всех присутствовавших","Mark todos asistieron","马克所有人参加了","مارك جميع حضر","Mark todos compareceram","Segna Tutto Come Presente"
"media","Media","Média","मीडिया","Fisiere","メディア","미디어","СМИ","Medios de comunicación","媒体","وسائط","meios de comunicação","Media"
"memberInfo","Member Info","Informations sur le membre","सदस्य जानकारी","Informatii membru","メンバー情報","회원 정보","Информация о участнике","Información de los miembros","会员信息","معلومات الأعضاء","Informações do membro","Informazioni per i membri"
"Members Login","Members Login","Connexion Membre","सदस्य लॉगिन","Logare membri","メンバーのログイン","회원 로그인","Участники входят в систему","Ingreso de usuarios","会员登入","تسجيل الدخول الأعضاء","Login de membros","Accesso Clienti"
"members.activityDesc","With activity, you can view detailed histories and write notes for member.","Avec l'activité, vous pouvez consulter les historiques détaillés et rédiger des notes pour les membres.","गतिविधि के साथ, आप सदस्य के लिए विस्तृत इतिहास देख सकते हैं और नोट लिख सकते हैं।","Cu activitatea, poti vizualiza istoricul detaliat si să scrii note pentru membru.","アクティビティを使用すると、詳細な履歴を表示し、メンバーのメモを書くことができます。","활동을 통해 자세한 역사를보고 회원을위한 메모를 작성할 수 있습니다.","С деятельностью вы можете просмотреть подробную историю и записать заметки для участника.","Con la actividad, puede ver historias detalladas y escribir notas para el miembro.","通过活动，您可以查看详细的历史记录并为会员写笔记。","مع النشاط ، يمكنك عرض تاريخ مفصل وكتابة ملاحظات للأعضاء.","Com a atividade, você pode visualizar histórias detalhadas e escrever notas para o membro.","Con l'attività, puoi visualizzare le cronologie dettagliate e scrivere note per i clienti"
"members.billingDesc","This information will be added to your invoice.","Ces informations seront ajoutées à votre facture.","इस जानकारी को आपके चालान में जोड़ा जाएगा।","Această informație va fi adăugată în factura ta","この情報は請求書に追加されます。","이 정보는 송장에 추가됩니다.","Эта информация будет добавлена ​​в ваш счет.","Esta información se agregará a su factura.","此信息将添加到您的发票中。","سيتم إضافة هذه المعلومات إلى فاتورتك.","Esta informação será adicionada à sua fatura.","Queste informazioni verranno aggiunte alla tua fattura."
"members.generalDesc","Member information forms provide key data on member that can be used to keep track of who worked for the company, when, and in what positions.","Les formulaires d'informations sur les membres fournissent des données clés sur les membres qui peuvent être utilisées pour suivre qui a travaillé pour l'entreprise, quand et dans quelles positions.","सदस्य जानकारी फार्म सदस्य के बारे में मुख्य डेटा प्रदान करते हैं, जो कंपनी के लिए कौन काम किया, कब और किन पदों में काम किया जा सकता है को ट्रैक करने के लिए उपयोग किया जा सकता है।","Formularele cu informatii despre membri ofera date cheie despre membri, care pot fi folosite pentru a tine evidenta cine a lucrat pentru companie, când si în ce pozitii","メンバー情報フォームは、メンバーに関する重要なデータを提供します。メンバーは、会社で働いた人、いつ、どのポジションで働いたかを追跡するために使用できます。","회원 정보 양식은 회사에서 누가 근무했는지, 언제, 어떤 위치에 있는지 추적하는 데 사용될 수있는 주요 데이터를 제공합니다.","Формы информации о участниках предоставляют ключевые данные о участнике, которые можно использовать для отслеживания того, кто работал в компании, когда и на каких должностях.","Los formularios de información de los miembros proporcionan datos clave sobre el miembro que se pueden utilizar para realizar un seguimiento de quién trabajó para la empresa, cuándo y en qué posiciones.","会员信息表提供有关成员的关键数据，该数据可用于跟踪谁在公司工作，何时和位置工作。","توفر نماذج معلومات الأعضاء بيانات أساسية عن الأعضاء التي يمكن استخدامها لتتبع من عمل لدى الشركة ، ومتى ، وفي أي المواقف.","Os formulários de informações do membro fornecem dados importantes sobre o membro que podem ser usados ​​para acompanhar quem trabalhou para a empresa, quando e em quais posições.","Le informazioni generali sul personale forniscono dati chiave che possono essere utilizzati per tenere traccia di chi ha lavorato per l'azienda, quando e in quali posizioni."
"members.noData","No members available","Aucun membre disponible","कोई सदस्य उपलब्ध नहीं है","Nici un membru disponibil","利用可能なメンバーはいません","이용 가능한 회원이 없습니다","Нет членов","No hay miembros disponibles","没有成员","لا يوجد أعضاء متاحين","Nenhum membro disponível","Nessun cliente disponibile"
"members.securityDesc","Change password","Changer le mot de passe","पासवर्ड बदलें","Schimba parola","パスワードを変更する","비밀번호를 변경하십시오","Изменить пароль","Cambiar la contraseña","更改密码","تغيير كلمة المرور","Alterar a senha","Cambia password"
"membershipNumber","Membership Number","Numéro d'adhésion","सदस्यता नंबर","Numar Abonament","会員番号","회원 번호","Количество членов","Número de socio","会员号码","رقم العضوية","Número de membro","Numero Cliente"
"menu","Menu","Menu","मेनू","Meniu","メニュー","메뉴","Меню","Menú","菜单","قائمة طعام","Cardápio","Menu"
"menus.allClasses","All Classes","Tous les cours","सभी वर्ग","Toate clasele","すべてのクラス","모든 수업","Все классы","Todas las clases","所有课程","جميع الفئات","Todas as classes","Tutti i corsi"
"menus.allProducts","All Products","Tous les produits","सभी प्रोडक्ट","Toate produsele","すべての製品","모든 상품","Все продукты","Todos los productos","所有产品","جميع المنتجات","Todos os produtos","Tutti i Prodotti"
"menus.allStaff","All Staff","Tout le personnel","सभी कर्मचारी","Tot staff-ul","すべてのスタッフ","전직원","Весь персонал","Todo el personal","全体员工","جميع الموظفين","Todos os funcionários","Tutto il Personale"
"menus.announcements","Announcements","Annonces","घोषणाएं","Anunțuri","発表","공지 사항","Объявления","Anuncios","公告","الإعلانات","Anúncios","Annunci"
"menus.billing","Billing","Facturation","बिलिंग","Abonamente","請求する","청구","Биллинг","Facturación","计费","الفواتير","Cobrança","Fatturazione"
"menus.bookClass","Book a Class","Réserver un cours","कक्षा बुक करें","Rezerva clase","クラスを予約してください","수업을 예약하십시오","Забронируйте класс","Reservar una clase","预订一堂课","حجز فصل","Reserve uma aula","Prenota un corso"
"menus.classes","Classes","Cours","कक्षाओं","Clase","クラス","클래스","Классы","Clases","课程","الطبقات","Aulas","Corsi"
"menus.classesBooked","Classes Booked","Cours réservés","बुक की गई कक्षाएँ","Clase rezervate","予約されたクラス","수업 예약","Занятия забронированы","Clases reservadas","预订课","تحجز الفصول","Aulas reservadas","Corsi Prenotati"
"menus.dailyReports","Daily Reports","Rapports journaliers","दैनिक रिपोर्ट","Rapoarte zilnice","毎日のレポート","일일 보고서","Ежедневные отчеты","Reportes diarios","每日报告","التقارير اليومية","Reportagens diárias","Report Giornalieri"
"menus.dashboard","Dashboard","Tableau de bord","डैशबोर्ड","Panou de control","ダッシュボード","계기반","Панель приборов","Panel","仪表板","لوحة القيادة","Painel","Dashboard"
"menus.enquiries","Enquiries","Billets","टिकट","Ticket","お問い合わせ","문의","Запросы","Consultas","查询","استفسارات","Inquéritos","Richieste"
"menus.enquiry","Enquiry","Enquête","जाँच करना","Examineaza","問い合わせ","문의","Расследование","Consulta","询问","سؤال","Investigação","Richiesta"
"menus.groups","Groups","Groupes","समूह","Grupuri","グループ","여러 떼","Группа","Grupos","组","مجموعات","Grupos","Gruppi"
"menus.guestPasses","Guest Passes","Passes invités","अतिथि पास","Invitatii Guest","ゲストパス","게스트 패스","Гостевые пасы","Pases de invitados","客人通行证","يمر الضيف","Passes de convidados","Pass Ospiti"
"menus.instructors","Instructors","Instructeurs","अनुदेशकों","Instructori","インストラクター","강사","Инструкторы","Instructores","讲师","المدربون","Instrutores","Istruttori"
"menus.locations","Locations","Emplacements","स्थानों","Locatii","場所","위치","Локации","Ubicación","位置","المواقع","Localizações","Posizioni"
"menus.members","Members","Membres","सदस्यों","Membri","メンバー","회원","Члены","Miembros","成员","أعضاء","Membros","Clienti"
"menus.membership","Membership","Adhésion","सदस्यता","Abonament","メンバーシップ","멤버십","Членство","Afiliación","会员资格","عضوية","Filiação","Iscrizione"
"menus.messages","Messages","Messages","संदेश","Mesaje","メッセージ","메시지","Сообщения","Mensajes","消息","رسائل","Mensagens","Messaggi"
"menus.monthlyReports","Monthly Reports","Rapports mensuels","मासिक विवरण","Rapoarte lunare","毎月のレポート","월간 보고서","Ежемесячные отчеты","Reportes mensuales","每月报告","تقارير شهرية","Relatórios mensais","Report Mensili"
"menus.products","Products","Produits","उत्पादों","Produse","製品","제품","Продукты","Productos","产品","منتجات","Produtos","Prodotti"
"menus.reports","Reports","Rapports","रिपोर्टों","Rapoarte","報告","보고서","Отчеты","Informes","报告","التقارير","Relatórios","Report"
"menus.settings","Settings","Paramètres","समायोजन","Setari","設定","설정","Настройки","Ajustes","设置","إعدادات","Configurações","Impostazioni"
"menus.shop","Shop","Magasin","दुकान","Magazin","店","가게","Магазин","Comercio","店铺","محل","Comprar","Negozio"
"menus.staff","Staff","Personnel","कर्मचारी","Angajat","スタッフ","직원","Персонал","Personal","职员","طاقم عمل","Funcionários","Personale"
"menus.tasks","Tasks","Tâches","कार्य","Task-uri","タスク","작업","Задания","Tareas","任务","مهام","Tarefas","Tasks"
"menus.templates","Templates","Modèles","टेम्पलेट्स","Sabloane","テンプレート","템플릿","Шаблоны","Plantillas","模板","قوالب","Modelos","Modelli"
"menus.weekSchedules","Week Schedules","Programmes hebdomadaires","सप्ताह अनुसूचियाँ","Program Clase","週のスケジュール","주 일정","Недельные графики","Horario de la semana","周时间表","جداول الأسبوع","Horários da semana","Programmi Settimanali"
"menus.yearlyReports","Yearly Reports","Rapports annuels","वार्षिक रिपोर्ट","Rapoarte anuale","毎年のレポート","연간 보고서","Ежегодные отчеты","Informes anuales","年度报告","التقارير السنوية","Relatórios anuais","Report Annuali"
"message","Message","Message","संदेश","Mesaj","メッセージ","메시지","Сообщение","Mensaje","信息","رسالة","Mensagem","Messaggio"
"label.announcements","Announcements","Annonces","घोषणाओं","Anunturi","発表","공지 사항","Объявления","Anuncios","公告","الإعلانات","Anúncios","Annunci"
"label.classes","Classes","Classes","कक्षाओं","Clase","クラス","클래스","Классы","Clases","课程","الطبقات","Aulas","Corsi"
